candidate_id,final_score,signal_score,career_signal,skills_signal,strong_hits,medium_hits,assessment_bonus,recruiter_bonus,assessment_count,assessment_avg,assessment_max,saved_by_recruiters_30d,recruiter_response_rate,open_to_work,last_active_days,notice_period_days,years_of_experience,current_title,current_company,is_honeypot,honeypot_reason,consulting_only,exp_inflation_level,exp_inflation_gap_yrs,exp_inflation_evidence,has_degree_mismatch,has_deg_duration_anomaly,deg_duration_evidence,has_anach_institution,anach_inst_evidence,has_dur_contradiction
CAND_0075249,254.52,152.4,126,26.4,collaborative filtering|search engineer,bm25|elasticsearch|ranking|recommendation|semantic search,63.33,49.75,5,68.0,80.7,9,0.82,True,73,45,6.2,Applied ML Engineer,Zomato,False,,False,none,0.03,,False,True,'M.Tech' at 'IIT Hyderabad': claimed 4 yrs (max expected 3); 'M.E.' at 'NIT Warangal': claimed 5 yrs (max expected 3),False,,False
CAND_0076251,253.92,115.8,88,27.8,search engineer,bm25|elasticsearch|ranking|semantic search,62.32,81.8,5,67.6,76.3,47,0.51,True,67,60,7.6,Search Engineer,Haptik,False,,False,none,0.02,,False,False,,False,,False
CAND_0027691,252.31,128.6,101,27.6,learning-to-rank,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,65.21,56.95,5,69.6,86.9,25,0.68,True,82,15,6.5,NLP Engineer,Haptik,False,,False,none,0.17,,False,True,'M.E.' at 'KIIT University': claimed 4 yrs (max expected 3),False,,False
CAND_0066999,252.0,81.6,58,23.6,learning-to-rank,click-through|ranking|recommendation,65.88,68.2,5,69.5,90.3,29,0.63,True,77,15,5.9,Recommendation Systems Engineer,Microsoft,False,,False,none,0.07,,False,False,,False,,False
CAND_0044855,251.41,134.0,94,40.0,collaborative filtering,bm25|elasticsearch|ranking|recommendation|semantic search,63.55,80.85,5,68.9,79.9,43,0.57,False,58,60,6.6,Senior Data Scientist,Flipkart,False,,False,none,0.1,,False,False,,False,,False
CAND_0047721,249.79,128.2,86,42.2,collaborative filtering|learning-to-rank,click-through|ranking|recommendation,68.51,93.05,5,77.4,87.8,56,0.49,False,77,90,7.0,Senior Data Scientist,Microsoft,False,,False,none,0.0,,False,True,'B.Sc' at 'IIT Kharagpur': claimed 5 yrs (max expected 4),False,,False
CAND_0006557,247.05,125.6,91,34.6,collaborative filtering|learning-to-rank,click-through|ranking|recommendation,59.35,98.1,4,70.3,76.2,53,0.63,True,72,120,7.9,NLP Engineer,Paytm,False,,False,none,0.07,,False,True,'M.Tech' at 'Symbiosis International': claimed 4 yrs (max expected 3),False,,False
CAND_0012957,245.85,132.4,121,11.4,collaborative filtering|learning-to-rank|search engineer,click-through|ranking|recommendation,61.25,97.15,4,69.9,86.5,54,0.67,False,50,120,4.9,Search Engineer,Razorpay,False,,False,none,0.07,,False,False,,False,,False
CAND_0091909,237.84,81.2,56,25.2,collaborative filtering,click-through|ranking|recommendation,60.78,102.95,2,87.2,89.5,64,0.65,True,95,45,6.9,Machine Learning Engineer,Rephrase.ai,False,,False,none,0.07,,False,False,,False,,False
CAND_0070202,236.39,155.6,126,29.6,collaborative filtering|learning-to-rank|search engineer,click-through|ranking|recommendation,66.34,61.45,5,71.5,88.7,28,0.6,False,32,90,5.1,Machine Learning Engineer,BYJU'S,False,,False,none,0.02,,False,False,,False,,False
CAND_0044222,234.24,94.6,71,23.6,,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,52.32,100.65,2,68.5,84.6,54,0.6,True,37,60,7.7,AI Engineer,PolicyBazaar,False,,False,none,0.03,,False,True,'M.Sc' at 'IISc Bangalore': claimed 4 yrs (max expected 3),False,,False
CAND_0081053,234.19,80.6,48,32.6,collaborative filtering,ranking|recommendation,60.18,82.1,2,86.0,88.8,40,0.83,True,82,90,5.4,NLP Engineer,Glance,False,,False,none,0.07,,False,False,,False,,False
CAND_0076904,234.1,118.8,91,27.8,learning-to-rank,bm25|click-through|elasticsearch|ranking|semantic search,55.55,109.75,4,60.4,76.9,65,0.54,True,61,90,4.2,Senior Data Scientist,Nykaa,False,,False,none,0.12,,False,True,'M.Tech' at 'VIT Chennai': claimed 4 yrs (max expected 3),False,,False
CAND_0005260,232.99,168.8,154,14.8,learning-to-rank|mrr|ndcg,bm25|ranking|vector search,52.54,48.65,1,80.9,80.9,11,0.86,False,42,60,5.2,Senior NLP Engineer,Netflix,False,,False,none,0.12,,False,False,,False,,False
CAND_0011687,230.95,75.0,61,14.0,learning-to-rank,ranking|recommendation,50.86,74.2,1,78.1,78.1,27,0.89,True,42,15,7.8,Senior NLP Engineer,Niramai,False,,False,none,0.13,,False,False,,False,,False
CAND_0075574,226.61,96.4,64,32.4,learning-to-rank,click-through|ranking|recommendation,60.2,60.7,4,69.0,82.9,24,0.58,True,35,60,5.7,Machine Learning Engineer,Haptik,False,,False,none,0.03,,False,False,,False,,False
CAND_0030031,225.82,116.0,91,25.0,collaborative filtering|search engineer,click-through|ranking|recommendation,65.35,61.75,5,67.9,91.0,13,0.94,False,30,30,5.7,AI Engineer,Microsoft,False,,False,none,0.12,,False,False,,False,,False
CAND_0094759,222.55,177.6,146,31.6,learning-to-rank|mrr|ndcg,bm25|ranking,61.24,31.85,4,72.7,80.9,5,0.11,False,164,30,8.6,Lead AI Engineer,Meta,False,,False,none,0.18,,False,True,'M.Tech' at 'Manipal Institute of Technology': claimed 5 yrs (max expected 3),False,,False
CAND_0007412,221.34,114.4,99,15.4,learning-to-rank|search engineer,click-through|ranking|recommendation,40.34,87.8,2,53.0,55.8,38,0.76,True,63,120,7.4,Applied ML Engineer,Zoho,False,,False,none,0.15,,False,True,'M.Tech' at 'IIT Hyderabad': claimed 5 yrs (max expected 3),False,,False
CAND_0068811,219.14,142.8,124,18.8,collaborative filtering|learning-to-rank|search engineer,click-through|ranking|recommendation,35.56,29.85,1,52.6,52.6,4,0.42,True,31,30,8.0,Applied ML Engineer,Freshworks,False,,False,none,0.08,,False,False,,False,,False
CAND_0005538,217.29,89.0,78,11.0,collaborative filtering|query understanding,ranking|recommendation,59.74,67.15,1,92.9,92.9,20,0.81,True,35,90,5.9,Senior AI Engineer,Adobe,False,,False,none,0.15,,False,False,,False,,False
CAND_0057563,213.3,138.6,129,9.6,collaborative filtering|learning-to-rank,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,52.36,72.5,1,80.6,80.6,33,0.83,False,61,60,6.8,NLP Engineer,Locobuzz,False,,False,none,0.13,,False,True,'M.E.' at 'BITS Pilani': claimed 4 yrs (max expected 3),False,,False
CAND_0026532,213.25,111.8,91,20.8,collaborative filtering,bm25|elasticsearch|ranking|recommendation|semantic search,69.0,74.7,5,77.1,90.9,42,0.52,True,85,90,4.8,Recommendation Systems Engineer,Zomato,False,,False,none,0.13,,True,False,,False,,False
CAND_0032515,212.93,99.0,83,16.0,learning-to-rank|search engineer,click-through|ranking,53.21,77.5,3,65.9,74.3,40,0.54,False,38,45,5.1,Machine Learning Engineer,PharmEasy,False,,False,none,0.1,,False,False,,False,,False
CAND_0031593,211.35,139.4,124,15.4,collaborative filtering|learning-to-rank|search engineer,click-through|ranking|recommendation,44.24,56.75,2,58.7,63.8,17,0.58,True,94,90,7.8,Search Engineer,Genpact AI,False,,False,none,0.13,,False,False,,False,,False
CAND_0074225,209.95,58.8,34,24.8,,click-through|ranking|recommendation,57.01,103.85,3,67.9,89.2,53,0.91,True,32,120,4.3,Machine Learning Engineer,Unacademy,False,,False,none,0.05,,False,False,,False,,False
CAND_0080766,209.57,146.4,106,40.4,ndcg|personalization,bm25|ranking|semantic search,54.7,70.6,1,84.5,84.5,27,0.66,False,73,0,8.8,Staff Machine Learning Engineer,Salesforce,False,,False,none,0.05,,False,True,'M.Sc' at 'RV College of Engineering': claimed 5 yrs (max expected 3),False,,True
CAND_0033861,205.26,154.0,116,38.0,collaborative filtering|ndcg,bm25|ranking|recommendation|semantic search,61.73,26.75,3,79.1,90.5,4,0.16,False,125,30,8.0,Senior NLP Engineer,Mad Street Den,False,,False,none,0.08,,False,False,,False,,False
CAND_0060054,204.84,116.4,99,17.4,collaborative filtering,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,57.94,81.5,1,89.9,89.9,39,0.86,False,96,15,6.4,AI Engineer,Mad Street Den,False,,False,none,0.07,,False,False,,False,,False
CAND_0061257,204.08,36.0,10,26.0,,ranking,49.74,141.75,2,69.5,69.6,80,0.87,True,66,30,8.0,Staff Machine Learning Engineer,LinkedIn,False,,False,none,0.08,,False,True,'M.E.' at 'IIT Roorkee': claimed 5 yrs (max expected 3),False,,True
CAND_0043860,203.66,67.2,45,22.2,collaborative filtering,ranking|recommendation,57.01,75.45,3,70.8,83.5,33,0.81,True,26,30,6.1,Junior ML Engineer,Aganitha,False,,False,none,0.02,,False,False,,False,,False
CAND_0020991,203.64,57.8,45,12.8,collaborative filtering,ranking|recommendation,56.73,91.7,4,63.6,76.5,44,0.88,True,26,120,4.9,Junior ML Engineer,PhonePe,False,,False,none,0.07,,False,False,,False,,False
CAND_0056940,202.04,15.0,0,15.0,,,59.25,55.5,5,58.5,79.2,26,0.48,True,77,30,7.4,Backend Engineer,Zomato,False,,False,none,0.07,,False,False,,False,,False
CAND_0073883,201.04,53.6,45,8.6,collaborative filtering,ranking|recommendation,55.16,92.6,3,67.5,80.8,42,0.92,True,28,90,5.3,AI Specialist,Krutrim,False,,False,none,0.13,,False,False,,False,,False
CAND_0016659,200.78,62.0,45,17.0,collaborative filtering,ranking|recommendation,58.11,88.65,4,66.5,77.5,37,0.89,True,30,45,4.4,ML Engineer,Glance,False,,False,none,0.07,,False,False,,False,,False
CAND_0074735,200.14,93.0,51,42.0,search engineer,recommendation,44.68,78.15,1,67.8,67.8,31,0.77,True,85,90,5.5,Applied ML Engineer,Rephrase.ai,False,,False,none,0.08,,True,False,,False,,False
CAND_0025640,198.91,73.4,45,28.4,collaborative filtering,ranking|recommendation,48.76,88.75,2,64.5,74.9,39,0.87,True,49,30,5.6,AI Research Engineer,HCL,False,,False,none,0.1,,False,True,'M.E.' at 'NIT Trichy': claimed 4 yrs (max expected 3),False,,False
CAND_0043381,198.79,56.4,45,11.4,collaborative filtering,ranking|recommendation,60.98,82.2,5,63.8,77.3,38,0.78,True,51,45,3.6,AI Research Engineer,PharmEasy,False,,False,none,0.02,,False,False,,False,,False
CAND_0024147,198.32,73.6,45,28.6,collaborative filtering,ranking|recommendation,42.22,67.65,1,63.7,63.7,31,0.84,True,79,60,5.9,ML Engineer,Ola,False,,False,none,0.07,,False,False,,False,,False
CAND_0091890,197.81,79.8,45,34.8,collaborative filtering,ranking|recommendation,51.64,77.5,2,71.2,75.7,43,0.49,True,38,60,4.7,AI Research Engineer,Verloop.io,False,,False,none,0.12,,False,True,'M.E.' at 'Thapar University': claimed 4 yrs (max expected 3),False,,False
CAND_0089552,195.73,77.8,51,26.8,collaborative filtering,ranking|recommendation,65.76,91.65,5,70.0,88.7,50,0.49,False,55,120,6.0,Machine Learning Engineer,Netflix,False,,False,none,0.08,,False,False,,False,,False
CAND_0065195,195.4,80.6,56,24.6,search engineer,ranking,40.36,50.25,1,60.6,60.6,13,0.8,True,28,45,5.1,Search Engineer,CRED,False,,False,none,0.02,,False,False,,False,,False
CAND_0075439,192.4,93.6,51,42.6,collaborative filtering,ranking|recommendation,56.06,83.85,3,67.8,84.7,42,0.56,False,45,30,4.3,Machine Learning Engineer,Flipkart,False,,False,none,0.05,,False,True,'M.Sc' at 'VIT Vellore': claimed 5 yrs (max expected 3),False,,False
CAND_0006418,189.94,61.0,23,38.0,,click-through|ranking,61.38,51.65,2,89.0,89.0,9,0.92,True,82,60,5.7,Machine Learning Engineer,Verloop.io,False,,False,none,0.12,,False,False,,False,,False
CAND_0033179,189.64,60.8,45,15.8,collaborative filtering,ranking|recommendation,57.34,71.5,3,72.2,82.3,33,0.84,True,30,30,6.9,AI Research Engineer,Wipro,False,,False,none,0.07,,False,False,,False,,False
CAND_0052328,187.78,58.0,31,27.0,,ranking|recommendation,55.3,73.2,2,75.6,85.4,31,0.79,True,82,30,6.5,Recommendation Systems Engineer,Amazon,False,,False,none,0.08,,True,False,,False,,False
CAND_0010685,187.6,141.8,126,15.8,learning-to-rank|search engineer,bm25|click-through|elasticsearch|ranking|semantic search,0.0,95.8,0,0,0,46,0.83,True,97,30,6.7,NLP Engineer,Rephrase.ai,False,,False,none,0.12,,False,False,,False,,False
CAND_0080603,187.4,11.4,0,11.4,,,58.54,70.3,4,68.5,75.6,28,0.76,True,25,120,5.8,Senior Data Engineer,Cognizant,False,,False,none,0.13,,False,False,,False,,False
CAND_0096142,187.36,72.4,61,11.4,collaborative filtering,click-through|ranking|recommendation,64.96,57.85,3,86.5,91.8,18,0.84,True,31,120,5.0,Applied ML Engineer,upGrad,False,,False,none,0.0,,False,True,'M.Tech' at 'IIIT Bangalore': claimed 5 yrs (max expected 3),False,,False
CAND_0018549,186.53,110.0,86,24.0,collaborative filtering|learning-to-rank,click-through|ranking|recommendation,58.84,52.8,3,72.1,90.0,15,0.73,True,54,60,6.8,Recommendation Systems Engineer,Uber,False,,False,none,0.05,,True,True,'M.Tech' at 'Stanford University': claimed 5 yrs (max expected 3),False,,False
CAND_0035879,186.24,56.4,45,11.4,collaborative filtering,ranking|recommendation,51.46,75.15,1,79.1,79.1,37,0.82,True,26,120,4.5,AI Research Engineer,Krutrim,False,,False,none,0.0,,False,False,,False,,False
CAND_0030827,185.97,124.6,91,33.6,learning-to-rank,bm25|click-through|elasticsearch|ranking|semantic search,0.0,91.65,0,0,0,50,0.52,True,73,120,5.4,Senior Data Scientist,Freshworks,False,,False,none,0.07,,False,False,,False,,False
CAND_0053591,185.6,45.0,24,21.0,,click-through|ranking,58.06,85.8,1,90.1,90.1,40,0.81,True,35,60,5.3,AI Engineer,Ola,False,,False,none,0.05,,False,True,'M.Tech' at 'Anna University': claimed 4 yrs (max expected 3),False,,False
CAND_0068932,185.11,54.6,45,9.6,collaborative filtering,ranking|recommendation,43.06,66.3,2,57.0,61.2,26,0.82,True,26,30,5.2,ML Engineer,Krutrim,False,,False,none,0.12,,False,False,,False,,False
CAND_0038099,184.93,59.0,45,14.0,collaborative filtering,ranking|recommendation,56.74,74.35,2,79.0,85.7,30,0.81,True,69,90,5.4,Junior ML Engineer,Locobuzz,False,,False,none,0.07,,False,False,,False,,False
CAND_0011327,184.56,53.0,45,8.0,collaborative filtering,ranking|recommendation,45.76,95.8,2,58.6,71.6,50,0.79,True,27,60,6.3,AI Research Engineer,Krutrim,False,,False,none,0.13,,False,False,,False,,False
CAND_0056881,183.59,87.6,53,34.6,search engineer,click-through|ranking,61.24,95.75,2,87.4,91.4,47,0.75,False,56,90,4.5,Machine Learning Engineer,Zomato,False,,False,none,0.0,,False,False,,False,,False
CAND_0004402,183.43,69.6,45,24.6,collaborative filtering,ranking|recommendation,66.18,69.65,5,72.5,85.8,27,0.83,True,27,60,6.0,AI Research Engineer,Yellow.ai,False,,False,none,0.08,,False,True,'M.Tech' at 'IIT Guwahati': claimed 5 yrs (max expected 3),False,,False
CAND_0028422,183.33,68.6,45,23.6,collaborative filtering,ranking|recommendation,55.43,57.85,4,59.0,79.1,14,0.76,True,37,90,5.5,Junior ML Engineer,Yellow.ai,False,,False,none,0.08,,False,False,,False,,False
CAND_0087494,182.73,49.8,45,4.8,collaborative filtering,ranking|recommendation,56.23,74.4,3,67.4,86.3,41,0.41,True,34,60,3.4,ML Engineer,Genpact AI,False,,False,none,0.07,,False,False,,False,,False
CAND_0092706,181.97,45.0,45,0.0,collaborative filtering,ranking|recommendation,59.14,90.3,5,58.0,79.7,47,0.78,True,25,120,5.8,AI Research Engineer,Unacademy,False,,False,none,0.05,,False,True,'B.Sc' at 'IIT Bombay': claimed 5 yrs (max expected 4),False,,False
CAND_0099675,181.95,51.0,45,6.0,collaborative filtering,ranking|recommendation,54.94,87.45,4,57.2,80.3,42,0.78,True,26,60,3.9,Junior ML Engineer,Locobuzz,False,,False,none,0.07,,False,False,,False,,False
CAND_0073917,181.62,68.8,45,23.8,collaborative filtering,ranking|recommendation,63.12,69.7,5,69.3,77.1,35,0.46,True,84,90,5.8,Data Scientist,InMobi,False,,False,none,0.13,,False,False,,False,,False
CAND_0015493,181.04,48.2,45,3.2,collaborative filtering,ranking|recommendation,63.04,70.15,5,64.5,86.2,40,0.3,True,58,30,6.4,Data Scientist,CRED,False,,False,none,0.15,,False,True,'M.E.' at 'KIIT University': claimed 5 yrs (max expected 3),False,,False
CAND_0054173,180.94,78.2,45,33.2,collaborative filtering,ranking|recommendation,50.74,58.0,1,77.9,77.9,28,0.31,True,31,60,5.1,Computer Vision Engineer,Verloop.io,False,,False,none,0.02,,False,False,,False,,False
CAND_0024878,180.93,66.8,45,21.8,collaborative filtering,ranking|recommendation,34.72,74.0,1,51.2,51.2,25,0.84,True,26,60,5.7,AI Specialist,HCL,False,,False,none,0.03,,False,False,,False,,False
CAND_0042100,180.93,75.6,48,27.6,learning-to-rank,click-through|ranking,54.34,54.0,2,75.1,81.5,11,0.87,True,90,90,7.3,Machine Learning Engineer,Freshworks,False,,False,none,0.13,,False,False,,False,,False
CAND_0095528,180.86,73.8,53,20.8,collaborative filtering,ranking|recommendation,64.86,64.2,5,68.7,86.8,25,0.55,True,49,45,5.3,Senior Data Scientist,Netflix,False,,False,none,0.05,,False,True,'B.Sc' at 'IIIT Bangalore': claimed 5 yrs (max expected 4),False,,False
CAND_0041402,180.61,63.2,45,18.2,collaborative filtering,ranking|recommendation,56.07,70.45,5,56.7,66.9,38,0.44,True,53,60,6.3,AI Specialist,Ola,False,,False,none,0.05,,True,False,,False,,False
CAND_0061244,180.45,68.8,45,23.8,collaborative filtering,ranking|recommendation,57.46,45.8,2,79.9,87.5,19,0.28,True,31,90,6.2,Computer Vision Engineer,CRED,False,,False,none,0.03,,False,False,,False,,False
CAND_0093193,179.76,24.6,0,24.6,,,59.15,91.75,3,74.6,86.6,43,0.61,True,64,45,7.9,Senior Machine Learning Engineer,Niramai,False,,False,none,0.07,,False,False,,False,,False
CAND_0030348,178.85,99.6,91,8.6,collaborative filtering,bm25|elasticsearch|ranking|recommendation|semantic search,56.2,59.05,1,87.0,87.0,18,0.54,True,83,45,4.5,Machine Learning Engineer,BYJU'S,False,,False,none,0.08,,False,True,'M.Sc' at 'VIT Vellore': claimed 4 yrs (max expected 3),False,,False
CAND_0020350,178.5,9.8,0,9.8,,,58.45,106.25,4,62.4,87.4,62,0.58,True,78,30,5.8,AI Engineer,Zoho,False,,False,none,0.05,,False,False,,False,,False
CAND_0083852,177.95,61.4,45,16.4,collaborative filtering,ranking|recommendation,45.16,66.15,1,68.6,68.6,24,0.85,True,25,90,6.0,Data Scientist,Mad Street Den,False,,False,none,0.08,,False,False,,False,,False
CAND_0041611,177.19,174.4,154,20.4,learning-to-rank|mrr|ndcg,bm25|ranking|semantic search,60.34,17.45,1,93.9,93.9,0,0.07,False,200,30,6.4,Staff Machine Learning Engineer,Locobuzz,False,,False,none,0.15,,False,False,,False,,False
CAND_0049978,176.04,60.4,45,15.4,collaborative filtering,ranking|recommendation,50.92,73.9,3,61.1,72.4,32,0.71,True,122,60,6.6,Senior Software Engineer (ML),Sarvam AI,False,,False,none,0.1,,False,False,,False,,False
CAND_0053695,176.03,106.2,101,5.2,learning-to-rank,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,0.0,71.55,0,0,0,34,0.6,True,80,15,5.8,Recommendation Systems Engineer,Meesho,False,,False,none,0.13,,False,False,,False,,False
CAND_0060835,175.84,51.0,45,6.0,collaborative filtering,ranking|recommendation,65.9,50.4,5,73.0,83.4,22,0.32,True,60,90,6.6,Senior Software Engineer (ML),Sarvam AI,False,,False,none,0.02,,False,False,,False,,False
CAND_0064904,175.47,70.2,48,22.2,collaborative filtering,ranking|recommendation,64.52,89.05,5,70.0,82.5,39,0.78,True,96,90,4.9,AI Engineer,LinkedIn,False,,False,none,0.07,,False,True,'M.E.' at 'Jadavpur University': claimed 4 yrs (max expected 3),False,,False
CAND_0055960,175.43,49.8,45,4.8,collaborative filtering,ranking|recommendation,59.09,73.15,3,74.1,87.3,26,0.89,True,26,90,4.9,AI Specialist,Dream11,False,,False,none,0.07,,False,False,,False,,False
CAND_0092255,175.02,76.0,45,31.0,collaborative filtering,ranking|recommendation,37.0,40.65,1,55.0,55.0,11,0.38,True,45,60,5.2,ML Engineer,InMobi,False,,False,none,0.12,,False,False,,False,,False
CAND_0052682,175.0,55.4,51,4.4,collaborative filtering,ranking|recommendation,44.98,64.9,2,59.5,65.8,16,0.88,True,85,30,6.6,NLP Engineer,Aganitha,False,,False,none,0.1,,False,True,'M.E.' at 'NIT Warangal': claimed 5 yrs (max expected 3),False,,False
CAND_0051292,174.81,140.6,132,8.6,learning-to-rank|search engineer,bm25|click-through|elasticsearch|ranking|semantic search,0.0,41.7,0,0,0,9,0.52,True,70,30,5.2,Applied ML Engineer,Freshworks,False,,False,none,0.2,,False,False,,False,,False
CAND_0043637,174.58,19.8,0,19.8,,,60.23,100.55,5,60.6,80.0,45,0.92,True,28,45,5.5,Junior ML Engineer,Rephrase.ai,False,,False,none,0.08,,False,False,,False,,False
CAND_0005649,174.36,135.0,112,23.0,search engineer,bm25|click-through|elasticsearch|ranking|recommendation|semantic search,0.0,61.15,0,0,0,26,0.57,True,68,90,7.4,Senior Data Scientist,Sarvam AI,False,,False,none,0.07,,False,False,,False,,False
CAND_0051003,174.09,33.0,0,33.0,,,58.76,84.0,5,59.0,75.7,41,0.7,True,81,60,4.0,Senior Software Engineer (ML),Genpact AI,False,,False,none,0.08,,False,False,,False,,False
